
 migrando datos... 

 INICIANDO EL PROCESO. PROCESANDO...
------------------------------;Legajo;Cargo;FechaCategoria;IdCategoria
NO se encontro empleado legajo;900358;1;2016-05-01;156
NO se encontro empleado legajo;900358;1;2016-05-01;226
NO se encontro empleado legajo;900361;1;2020-03-01;156
NO se encontro empleado legajo;900361;1;2020-03-01;226
NO se encontro empleado legajo;900362;1;2017-06-01;156
NO se encontro empleado legajo;900362;1;2017-06-01;226
NO se encontro empleado legajo;900372;1;2019-05-01;156
NO se encontro empleado legajo;900372;1;2019-05-01;226
NO se encontro empleado legajo;900375;1;2017-04-01;156
NO se encontro empleado legajo;900375;1;2017-04-01;226
NO se encontro empleado legajo;900380;1;2017-01-01;156
NO se encontro empleado legajo;900380;1;2017-01-01;226
NO se encontro empleado legajo;900385;1;2021-01-01;156
NO se encontro empleado legajo;900385;1;2021-01-01;226
NO se encontro empleado legajo;900387;1;2018-03-01;156
NO se encontro empleado legajo;900387;1;2018-03-01;226
NO se encontro empleado legajo;900388;1;2021-01-01;156
NO se encontro empleado legajo;900388;1;2021-01-01;226
NO se encontro empleado legajo;900389;1;2019-07-01;156
NO se encontro empleado legajo;900389;1;2019-07-01;226
NO se encontro empleado legajo;900392;1;2021-01-01;156
NO se encontro empleado legajo;900392;1;2021-01-01;226
NO se encontro empleado legajo;900395;1;2021-01-15;156
NO se encontro empleado legajo;900395;1;2021-01-15;226
NO se encontro empleado legajo;900400;1;2019-05-01;156
NO se encontro empleado legajo;900400;1;2019-05-01;226
NO se encontro empleado legajo;900410;1;2019-05-01;156
NO se encontro empleado legajo;900410;1;2019-05-01;226
NO se encontro empleado legajo;900412;1;2017-03-01;156
NO se encontro empleado legajo;900412;1;2017-03-01;226
NO se encontro empleado legajo;900424;1;2019-03-01;156
NO se encontro empleado legajo;900424;1;2019-03-01;226
NO se encontro empleado legajo;900425;1;2022-07-01;156
NO se encontro empleado legajo;900425;1;2022-07-01;226
NO se encontro empleado legajo;900427;1;2016-05-01;156
NO se encontro empleado legajo;900427;1;2016-05-01;226
NO se encontro empleado legajo;900429;1;2021-01-01;156
NO se encontro empleado legajo;900429;1;2021-01-01;226
NO se encontro empleado legajo;900431;1;2020-12-23;156
NO se encontro empleado legajo;900431;1;2020-12-23;226
NO se encontro empleado legajo;900432;1;2019-01-01;156
NO se encontro empleado legajo;900432;1;2019-01-01;226
NO se encontro empleado legajo;900434;1;2020-03-01;156
NO se encontro empleado legajo;900434;1;2020-03-01;226
NO se encontro empleado legajo;900437;1;2021-05-01;156
NO se encontro empleado legajo;900437;1;2021-05-01;226
NO se encontro empleado legajo;900438;1;2016-05-01;156
NO se encontro empleado legajo;900438;1;2016-05-01;226
NO se encontro empleado legajo;900445;1;2021-01-01;156
NO se encontro empleado legajo;900445;1;2021-01-01;226
NO se encontro empleado legajo;900446;1;2019-05-01;156
NO se encontro empleado legajo;900446;1;2019-05-01;226
NO se encontro empleado legajo;900454;1;2020-12-22;156
NO se encontro empleado legajo;900454;1;2020-12-22;226
NO se encontro empleado legajo;900458;1;2020-12-22;156
NO se encontro empleado legajo;900458;1;2020-12-22;226
NO se encontro empleado legajo;900459;1;2020-12-22;156
NO se encontro empleado legajo;900459;1;2020-12-22;226
NO se encontro empleado legajo;900461;1;2020-03-01;156
NO se encontro empleado legajo;900461;1;2020-03-01;226
NO se encontro empleado legajo;900462;1;2018-11-01;156
NO se encontro empleado legajo;900462;1;2018-11-01;226
NO se encontro empleado legajo;900470;1;2021-01-01;156
NO se encontro empleado legajo;900470;1;2021-01-01;226
NO se encontro empleado legajo;900471;1;2019-04-01;156
NO se encontro empleado legajo;900471;1;2019-04-01;226
NO se encontro empleado legajo;900473;1;2019-05-01;156
NO se encontro empleado legajo;900473;1;2019-05-01;226
NO se encontro empleado legajo;900480;1;2016-05-01;156
NO se encontro empleado legajo;900480;1;2016-05-01;226
NO se encontro empleado legajo;900482;1;2016-06-01;156
NO se encontro empleado legajo;900482;1;2016-06-01;226
NO se encontro empleado legajo;900485;1;2018-03-01;156
NO se encontro empleado legajo;900485;1;2018-03-01;226
NO se encontro empleado legajo;900486;1;2017-05-01;156
NO se encontro empleado legajo;900486;1;2017-05-01;226
NO se encontro empleado legajo;900491;1;2019-03-01;156
NO se encontro empleado legajo;900491;1;2019-03-01;226
NO se encontro empleado legajo;900523;1;2017-04-01;156
NO se encontro empleado legajo;900523;1;2017-04-01;226
NO se encontro empleado legajo;900525;1;2017-06-01;156
NO se encontro empleado legajo;900525;1;2017-06-01;226
NO se encontro empleado legajo;900526;1;2017-07-01;156
NO se encontro empleado legajo;900526;1;2017-07-01;226
NO se encontro empleado legajo;900527;1;2016-05-01;156
NO se encontro empleado legajo;900527;1;2016-05-01;226
